Test Donor,Learning Rate,Batch Size,Number of Neurons,Average of Accuracy,Average of Average Precision,Average of AUC
6,0.1,16,64,0.5156361238240529,0.482997234935164,0.5
1,0.01,16,64,0.4552552590448841,0.63513570789998,0.5821889632107023
2,0.01,16,64,0.3890820134308491,0.38771537219006597,0.5
3,0.01,16,64,0.5905415245808467,0.5235889102017619,0.5
5,0.01,16,64,0.6319777691778465,0.40877515479876164,0.5
6,0.01,16,64,0.2126168001525553,0.482997234935164,0.5
1,1e-05,64,1024,0.735212371561897,0.8724482629718044,0.8307316347305943
2,1e-05,64,1024,0.795528596640792,0.7779251816729187,0.8267119146166058
3,1e-05,64,1024,0.7448964549587951,0.7935266587123281,0.8208607262591542
5,1e-05,64,1024,0.7369893790849673,0.758939693933817,0.7721336446055099
6,1e-05,64,1024,0.7801256992117976,0.7693422800241476,0.7829038498014524
1,0.001,64,1024,0.4383485421247065,0.5602848166345105,0.5
2,0.001,64,1024,0.27901972001615294,0.3897432761485345,0.5037313432835822
3,0.001,64,1024,0.4673389102017619,0.5333302105680622,0.5294871794871795
5,0.001,64,1024,0.5976640436876506,0.40877515479876164,0.5
6,0.001,64,1024,0.2588124523264683,0.4926539726142898,0.5223134328358209
1,0.001,64,512,0.4804681073420978,0.5602848166345105,0.5
2,0.001,64,512,0.6364081826475823,0.4819403229359145,0.6263479127812388
3,0.001,64,512,0.4360889102017619,0.5337960107934778,0.5294871794871795
5,0.001,64,512,0.5587751547987616,0.4381332518987942,0.5606300345224395
6,0.001,64,512,0.482997234935164,0.482997234935164,0.5
1,0.001,16,512,0.5945985421247064,0.5602848166345105,0.5
2,0.001,16,512,0.5779709023197379,0.38771537219006597,0.5
3,0.001,16,512,0.36733891020176185,0.5235889102017619,0.5
5,0.001,16,512,0.5912248452012383,0.40877515479876164,0.5
6,0.001,16,512,0.6718861238240529,0.482997234935164,0.49841772151898733
1,0.001,8,1024,0.7100956181480982,0.5602848166345105,0.5
2,0.001,8,1024,0.30789866289765333,0.38771537219006597,0.5
3,0.001,8,1024,0.6280415245808468,0.5329639102017618,0.525
5,0.001,8,1024,0.6319777691778465,0.40877515479876164,0.5
6,0.001,8,1024,0.40150568904144424,0.482997234935164,0.5
